ref_date,curve,days,rate
2026-04-02,PRE,1020,0.1368
2026-04-02,PRE,1050,0.1369
2026-04-02,PRE,1082,0.1369
2026-04-02,PRE,1096,0.1369
2026-04-02,PRE,1110,0.13699999999999998
2026-04-02,PRE,1139,0.13699999999999998
2026-04-02,PRE,1140,0.13699999999999998
2026-04-02,PRE,1170,0.1371
2026-04-02,PRE,1187,0.1371
2026-04-02,PRE,1201,0.13720000000000002
2026-04-02,PRE,1217,0.13720000000000002
2026-04-02,PRE,1231,0.13720000000000002
2026-04-02,PRE,1278,0.1373
2026-04-02,PRE,1309,0.1373
2026-04-02,PRE,1324,0.1373
2026-04-02,PRE,1341,0.1374
2026-04-02,PRE,1371,0.1374
2026-04-02,PRE,1415,0.1375
2026-04-02,PRE,1440,0.1375
2026-04-02,PRE,1460,0.1375
2026-04-02,PRE,1504,0.1375
2026-04-02,PRE,1551,0.1376
2026-04-02,PRE,1596,0.1377
2026-04-02,PRE,1630,0.1377
2026-04-02,PRE,1643,0.1377
2026-04-02,PRE,1691,0.1379
2026-04-02,PRE,1721,0.138
2026-04-02,PRE,1736,0.138
2026-04-02,PRE,1782,0.138
2026-04-02,PRE,1800,0.138
2026-04-02,PRE,1812,0.1381
2026-04-02,PRE,1825,0.1381
2026-04-02,PRE,1869,0.1381
2026-04-02,PRE,1887,0.1382
2026-04-02,PRE,1903,0.1382
2026-04-02,PRE,1916,0.1382
2026-04-02,PRE,1961,0.1383
2026-04-02,PRE,1978,0.1383
2026-04-02,PRE,1994,0.1383
2026-04-02,PRE,2008,0.1384
2026-04-02,PRE,2055,0.13849999999999998
2026-04-02,PRE,2101,0.1386
2026-04-02,PRE,2146,0.1386
2026-04-02,PRE,2160,0.1386
2026-04-02,PRE,2237,0.1387
2026-04-02,PRE,2328,0.1387
2026-04-02,PRE,2420,0.1388
2026-04-02,PRE,2468,0.1388
2026-04-02,PRE,2511,0.1388
2026-04-02,PRE,2520,0.1388
2026-04-02,PRE,2601,0.1388
2026-04-02,PRE,2692,0.1388
2026-04-02,PRE,2785,0.1388
2026-04-02,PRE,2832,0.1389
2026-04-02,PRE,2876,0.1388
2026-04-02,PRE,2883,0.1388
2026-04-02,PRE,2965,0.1388
2026-04-02,PRE,3057,0.1388
2026-04-02,PRE,3150,0.1388
2026-04-02,PRE,3197,0.1388
2026-04-02,PRE,3240,0.1388
2026-04-02,PRE,3241,0.1388
2026-04-02,PRE,3330,0.1387
2026-04-02,PRE,3422,0.1387
