ref_date,pricing_month,bo_ticker,bo_continuous,basis_ticker,bo_price_clb,basis_clb,ptax,pre_rate_pct,doc_rate_pct,du,dc,fx_forward,flat_price_brl_ton
2026-04-06,2026-05,BOK26,BOc1,SO-PREMP-K,65.33,-1350.0,5.1532,14.64,5.1775,17,25,5.1827,5922.05
2026-04-06,2026-06,BON26,BOc2,SO-PREMP-M,69.47,-1450.0,5.1532,14.5933,5.1,38,56,5.2196,6325.53
2026-04-06,2026-07,BON26,BOc3,SO-PREMP-N,68.34,-1450.0,5.1532,14.5,4.97,59,86,5.2579,6240.96
2026-04-06,2026-08,BOQ26,BOc4,SO-PREMP-Q,67.3,-1350.0,5.1532,14.4414,5.0171,81,117,5.2966,6282.23
2026-04-06,2026-09,BOU26,BOc5,SO-PREMP-U,66.21,-1350.0,5.1532,14.38,5.01,103,148,5.3358,6200.48
2026-04-06,2026-10,BOV26,BOc6,SO-PREMP-V,65.46,-1300.0,5.1532,14.3356,4.9471,124,178,5.3745,6215.83
