Date,boc1,smc1,so-premp-c1,sm-premp-c1,sb-premp-c1,lcoc1,clc1,hoc1,cc1,brl=,fcpoc1,rsc1,myr=,cpo-mysth-m1,palm-myrbd-p1,sb-oilib-c1,bo-brzpar-b1,bo-brzpar-a1,palm-mycrd-p1,soy-arg-ref,jci-hogm-fujn,jci-hogm-shai,palm-sea-ocrdm,soil-sea-dgcf,sunf-sea-crm,go10sgswmc1,rbd-pko-m1
2017-04-01,,,,,,,,,,,,,,,,,,,,,580.0,600.0,,,,,
2017-04-03,31.42,307.6,-33,-33,50,53.12,50.24,1.5634,367.75,3.1138,2862,484.5,4.426,2905.0,697.5,685,686.1,710.3,690.0,45.25,,,720,746.0,780,,1165.0
2017-04-04,31.43,308.1,-33,-33,50,54.17,51.03,1.5923,363.0,3.0927,2861,485.5,4.43,2895.0,695.0,685,686.3,710.6,680.0,44.57,,,715,741.0,790,,1110.0
2017-04-05,31.83,309.8,-34,-34,50,54.36,51.15,1.6035,364.75,3.1192,2930,489.3,4.4295,2940.0,710.0,697,708.3,703.9,687.5,46.87,580.0,600.0,725,745.0,780,,1140.0
2017-04-06,31.37,308.7,-32,-32,60,54.89,51.7,1.6129,360.75,3.142,2909,485.7,4.435,2930.0,707.5,692,698.2,693.8,700.0,47.21,560.0,560.0,725,752.0,780,,1130.0
2017-04-07,31.62,307.4,-16,-16,50,55.24,52.24,1.6284,359.5,3.1457,2885,489.1,4.4335,2895.0,700.0,695,694.9,714.7,672.5,47.35,560.0,560.0,722,747.0,780,,1080.0
2017-04-10,31.35,309.1,-16,-16,60,55.98,53.08,1.6473,367.0,3.1311,2832,489.7,4.433,2865.0,695.0,692,688.9,708.8,695.0,46.25,540.0,540.0,702,752.0,780,,1020.0
2017-04-11,31.07,309.3,-15,-15,55,56.23,53.4,1.6506,366.5,3.136,2838,494.5,4.431,2870.0,700.0,690,687.2,702.6,710.0,46.35,520.0,520.0,702,753.0,782,,1050.0
2017-04-12,31.24,312.7,-17,-17,60,55.86,53.11,1.652,369.0,3.1251,2780,495.0,4.425,2825.0,697.5,693,695.3,706.4,715.0,47.79,520.0,520.0,702,750.0,780,,1030.0
2017-04-13,31.19,317.5,-17,-17,60,55.89,53.18,1.6495,371.0,3.1437,2769,500.0,4.41,2805.0,690.0,,696.4,709.7,717.5,50.28,520.0,520.0,705,761.0,780,,1035.0
2017-04-14,,,,,,,,,,3.144,2750,,4.405,2760.0,,,,,,48.52,520.0,520.0,,,,,1040.0
2017-04-17,31.8,313.4,-31,-31,60,55.36,52.65,1.6329,366.5,3.0979,2636,508.8,4.403,2725.0,,705,,,,47.71,520.0,520.0,710,764.0,784,,1030.0
2017-04-18,31.14,312.2,-16,-16,60,54.89,52.41,1.6219,361.75,3.1072,2597,512.2,4.409,2680.0,667.5,695,695.3,717.4,712.5,47.53,520.0,520.0,710,767.0,780,,1010.0
2017-04-19,31.58,310.8,-16,-16,60,52.93,50.44,1.5813,361.75,3.1514,2584,516.5,4.3985,2650.0,667.5,703,705.0,727.1,667.5,47.15,520.0,520.0,697,756.0,780,,1000.0
2017-04-20,31.92,307.9,-17,-17,60,52.99,50.27,1.5789,357.75,3.1483,2639,519.6,4.396,2680.0,672.5,710,716.9,734.6,675.0,48.5,500.0,500.0,700,759.0,780,,1055.0
2017-04-21,31.94,309.6,,,,51.96,49.62,1.5533,357.0,3.1475,2669,525.9,4.398,2705.0,677.5,710,716.9,734.6,677.5,49.25,480.0,450.0,690,765.0,780,,1045.0
2017-04-24,31.69,316.4,-17,-17,50,51.6,49.23,1.5427,359.25,3.1271,,530.5,4.398,,,705,,,680.0,46.27,430.0,400.0,710,771.0,800,,
2017-04-25,31.58,313.5,-18,-18,50,52.1,49.56,1.5452,365.0,3.1459,2634,521.5,4.369,2680.0,672.5,705,705.0,718.3,662.5,42.8,430.0,400.0,690,752.0,785,,1050.0
2017-04-26,31.91,309.6,-16,-16,60,51.82,49.62,1.5367,359.0,3.171,2664,530.4,4.346,2705.0,680.0,712,712.3,725.5,710.0,44.64,430.0,400.0,702,752.0,785,,1090.0
2017-04-27,31.7,310.5,-16,-16,50,51.44,48.97,1.5072,362.0,3.1832,2660,529.3,4.345,2710.0,675.0,707,707.7,720.9,685.0,46.44,430.0,400.0,700,773.0,785,,1100.0
2017-04-28,31.45,311.7,60,60,50,51.73,49.33,1.504,358.0,3.1758,2694,512.1,4.339,2700.0,675.0,700,702.2,715.4,682.5,45.12,430.0,400.0,695,760.0,785,,1090.0
2017-05-01,31.89,314.3,,,,51.52,48.84,1.4878,369.25,3.1755,,526.6,4.339,,,,,,,45.79,,,,,,,
2017-05-02,32.35,310.8,-18,-18,50,50.46,47.66,1.468,364.0,3.1514,2730,521.0,4.326,2750.0,680.0,722,,,705.0,43.54,430.0,400.0,700,773.0,790,,1110.0
2017-05-03,32.32,314.6,-32,-32,60,50.79,47.82,1.4736,366.25,3.1644,2705,522.8,4.317,2725.0,675.0,722,716.9,721.4,695.0,46.87,430.0,400.0,700,783.0,795,,1115.0
2017-05-04,32.33,314.1,-26,-26,50,48.38,45.52,1.4123,358.0,3.188,2730,523.0,4.326,2752.5,670.0,724,717.2,721.6,702.5,45.4,430.0,400.0,710,789.0,790,,1110.0
2017-05-05,32.71,312.3,-16,-16,60,49.1,46.22,1.4366,361.75,3.1762,2775,526.0,4.335,2775.0,675.0,736,725.5,730.0,707.5,36.32,430.0,400.0,710,790.0,795,,1120.0
2017-05-08,32.73,309.5,-24,-24,50,49.34,46.43,1.4556,356.75,3.197,2800,525.7,4.335,2810.0,680.0,739,726.0,730.4,725.0,37.0,400.0,400.0,720,803.0,800,,1140.0
2017-05-09,32.65,314.2,-16,-16,50,48.73,45.88,1.4421,358.25,3.1896,2850,527.8,4.345,2840.0,687.5,739,724.2,737.5,727.5,37.56,400.0,400.0,720,805.0,800,,1150.0
2017-05-10,32.07,313.8,-16,-16,60,50.22,47.33,1.4754,365.25,3.1666,,520.1,4.345,,,725,718.0,735.7,722.5,34.34,400.0,400.0,722,801.0,800,,
2017-05-11,32.27,311.1,-16,-16,60,50.77,47.83,1.4899,360.5,3.1399,2895,519.5,4.346,2870.0,695.0,730,722.5,740.1,742.5,34.67,400.0,400.0,722,802.0,805,,1155.0
2017-05-12,32.63,309.7,-22,-22,60,50.84,47.84,1.4933,361.75,3.1209,2860,524.1,4.344,2850.0,697.5,735,741.6,746.0,740.0,35.01,400.0,400.0,720,789.0,800,,1145.0
2017-05-15,33.02,312.5,-23,-23,60,51.82,48.85,1.5096,367.75,3.1105,2920,523.3,4.325,2885.0,710.0,737,736.8,745.6,750.0,33.11,400.0,400.0,735,800.0,805,,1160.0
2017-05-16,33.01,317.0,-25,-25,60,51.65,48.66,1.5164,367.75,3.0961,2834,525.1,4.32,2875.0,697.5,737,738.8,752.0,750.0,33.55,400.0,400.0,735,800.0,800,,1190.0
2017-05-17,33.15,315.3,-24,-24,60,52.21,49.07,1.5335,371.5,3.1378,2886,527.7,4.321,2915.0,707.5,740,741.9,755.1,750.0,31.44,400.0,400.0,735,800.0,805,,1210.0
2017-05-18,32.44,307.5,-25,-25,55,52.51,49.35,1.5453,366.0,3.3665,2871,521.3,4.326,2910.0,705.0,732,721.8,737.2,750.0,36.05,400.0,400.0,,,,,1240.0
2017-05-19,33.04,307.0,-27,-27,50,53.61,50.33,1.5827,372.5,3.2527,2885,523.2,4.32,2915.0,710.0,750,743.8,757.1,750.0,34.7,400.0,400.0,,,,,1235.0
2017-05-22,32.94,307.8,-29,-29,50,53.87,50.73,1.6021,375.0,3.2653,2900,,4.303,2955.0,720.0,750,741.6,752.7,770.0,34.35,400.0,400.0,750,813.0,800,,1280.0
2017-05-23,32.34,306.3,-19,-19,50,54.15,51.47,1.6067,369.5,3.27,2877,525.8,4.292,2905.0,715.0,742,735.0,739.4,770.0,33.45,380.0,360.0,750,810.0,800,,1270.0
2017-05-24,32.28,306.4,-10,-10,52,53.96,51.36,1.6063,371.25,3.2774,2861,523.7,4.291,2900.0,715.0,740,733.7,744.7,760.0,33.65,380.0,360.0,737,796.0,800,,1250.0
2017-05-25,32.04,304.7,-10,-10,60,51.46,48.9,1.5509,369.25,3.2729,2876,520.4,4.277,2900.0,,,728.4,739.4,,35.94,380.0,360.0,742,803.0,797,,1260.0
2017-05-26,31.6,301.8,-12,-12,55,52.15,49.8,1.5633,374.25,3.2598,2840,516.8,4.267,2865.0,710.0,730,718.7,729.7,755.0,37.25,380.0,360.0,730,790.0,800,,1240.0
2017-05-27,,,,,,,,,,,,,,,,,,,,,380.0,360.0,,,,,
2017-05-29,,,,,,52.29,,,,3.256,2787,512.2,4.2705,2830.0,705.0,730,,,715.0,36.55,,,725,793.0,800,,1190.0
2017-05-30,31.42,297.6,-10,-10,55,51.84,49.66,1.5494,367.0,3.2572,2757,502.8,4.281,2805.0,700.0,726,,,727.5,34.49,,,720,789.0,790,,1150.0
2017-05-31,31.34,298.1,-10,-10,54,50.31,48.32,1.5153,372.0,3.2262,2749,500.7,4.279,2800.0,700.0,736,726.2,739.4,720.0,38.27,320.0,300.0,715,791.0,790,,1130.0
2017-06-01,31.25,297.5,-20,-20,51,50.63,48.36,1.5017,370.5,3.2495,2759,494.6,4.286,2805.0,700.0,734,724.2,737.5,725.0,39.54,320.0,300.0,725,794.0,790,,1140.0
2017-06-02,31.01,301.9,-12,-12,60,49.95,47.66,1.4848,372.75,3.2472,2730,499.9,4.279,2795.0,697.5,731,727.7,745.4,717.5,42.34,320.0,300.0,717,796.0,782,,1130.0
2017-06-05,31.31,300.6,-12,-12,60,49.47,47.4,1.4593,373.0,3.2967,2743,509.7,4.262,2790.0,,737,734.4,752.0,,43.01,320.0,300.0,710,793.0,780,,1130.0
2017-06-06,31.39,301.1,-13,-13,55,50.12,48.19,1.4662,377.25,3.2772,2738,509.5,4.265,2770.0,695.0,740,736.1,753.8,720.0,40.46,320.0,300.0,705,795.0,795,,1120.0
2017-06-07,31.36,304.9,-12,-12,60,48.06,45.72,1.4162,384.75,3.2685,2707,509.5,4.259,2745.0,690.0,740,735.5,753.1,715.0,40.14,320.0,300.0,700,798.0,800,,1100.0
2017-06-08,31.85,306.1,-14,-14,55,47.86,45.64,1.4223,385.75,3.2607,2670,513.2,4.267,2715.0,687.5,748,746.3,763.9,707.5,40.28,320.0,300.0,697,796.0,790,,1100.0
2017-06-09,32.29,305.9,-15,-15,55,48.15,45.83,1.4312,387.75,3.2959,2680,514.6,4.2635,2725.0,682.5,752,756.0,773.6,712.5,37.61,320.0,300.0,700,798.0,790,,1090.0
2017-06-12,31.94,301.8,-13,-13,55,48.29,46.08,1.4254,377.25,3.3179,,514.8,4.2635,,,745,748.3,765.9,710.0,39.27,340.0,300.0,700,807.0,790,,
2017-06-13,32.09,301.5,-12,-12,56,48.72,46.46,1.4477,381.0,3.3145,2649,511.2,4.261,2695.0,677.5,748,744.9,769.2,690.0,38.49,340.0,300.0,695,802.0,790,,1080.0
2017-06-14,32.09,301.8,-12,-12,55,47.0,44.73,1.4102,377.0,3.2739,2675,509.6,4.256,2710.0,680.0,748,740.5,769.2,705.0,36.34,340.0,300.0,692,805.0,785,,1085.0
2017-06-15,32.74,300.6,,,,46.92,44.46,1.4146,379.5,3.274,2650,513.0,4.265,2725.0,685.0,753,754.9,783.5,700.0,35.59,340.0,300.0,695,798.0,790,,1095.0
2017-06-16,33.11,300.9,-13,-13,60,47.37,44.74,1.427,384.0,3.2925,2656,514.1,4.274,2760.0,,753,763.0,791.7,710.0,32.86,340.0,300.0,697,806.0,785,,1110.0
2017-06-19,32.82,301.5,-14,-14,60,46.91,44.2,1.4111,375.25,3.2824,2640,517.3,4.276,2745.0,667.5,750,756.6,785.3,667.5,32.4,340.0,300.0,705,813.0,785,,1115.0
2017-06-20,32.02,300.9,-14,-14,60,46.02,43.23,1.3949,370.0,3.3264,2603,510.4,4.282,2700.0,657.5,,734.6,767.7,660.0,33.04,340.0,300.0,695,805.0,795,,1090.0
2017-06-21,31.85,297.9,-13,-13,55,44.82,42.53,1.3648,368.75,3.336,2587,506.3,4.286,2675.0,650.0,735,735.2,744.1,650.0,33.12,340.0,300.0,690,796.0,795,,1090.0
2017-06-22,31.55,293.8,-14,-14,58,45.22,42.74,1.3716,362.75,3.3415,2597,505.0,4.2855,2670.0,652.5,728,730.8,739.7,650.0,32.24,340.0,300.0,690,790.0,790,,1095.0
2017-06-23,31.61,293.6,-14,-14,58,45.54,43.01,1.3717,357.75,3.3427,2589,509.6,4.2865,2650.0,650.0,728,732.2,741.0,640.0,34.54,340.0,300.0,685,791.0,790,,1085.0
2017-06-26,31.52,294.1,-13,-13,55,45.83,43.38,1.3802,359.0,3.2961,,508.3,4.2865,,,725,730.2,739.0,650.0,32.71,340.0,300.0,,,,,
2017-06-27,32.08,294.0,-13,-13,60,46.65,44.24,1.4137,359.25,3.3125,,512.7,4.2865,,,,742.5,751.3,650.0,33.04,340.0,300.0,690,788.0,790,,
2017-06-28,32.12,294.6,-14,-14,58,47.31,44.74,1.433,356.75,3.2795,2585,519.5,4.296,2645.0,650.0,734,732.4,739.0,652.5,33.1,340.0,300.0,685,792.0,785,,1090.0
2017-06-29,32.42,294.4,-14,-14,60,47.42,44.93,1.446,359.75,3.3033,2617,530.0,4.292,2665.0,655.0,740,732.4,745.6,670.0,33.49,340.0,300.0,680,800.0,790,,1095.0
2017-06-30,32.93,304.4,-14,-14,55,47.92,46.04,1.4755,370.5,3.3063,2596,551.3,4.291,2665.0,652.5,750,741.4,756.9,645.0,35.25,340.0,300.0,685,800.0,787,,1090.0
2017-07-03,33.13,311.9,-17,-17,55,49.68,47.07,1.5128,378.0,3.3003,2642,,4.2965,2680.0,662.5,752,745.8,761.3,650.0,33.79,340.0,300.0,682,813.0,795,,1115.0
2017-07-04,,,,,,49.61,,,,3.309,2650,557.2,4.296,2665.0,665.0,752,745.8,761.3,650.0,30.18,340.0,300.0,677,811.0,800,,1100.0
2017-07-05,33.15,316.5,-16,-16,52,47.79,45.13,1.4785,381.75,3.2883,2670,567.2,4.295,2670.0,667.5,750,741.9,744.1,650.0,29.21,340.0,300.0,685,810.0,810,,1100.0
2017-07-06,32.83,320.0,-17,-17,50,48.11,45.52,1.4819,380.25,3.2959,2688,573.3,4.297,2690.0,672.5,742,734.8,739.2,660.0,31.43,340.0,300.0,690,803.0,800,,1110.0
2017-07-07,32.78,328.5,-15,-15,50,46.71,44.23,1.4482,382.25,3.2803,2668,571.1,4.297,2680.0,670.0,740,733.7,740.3,662.5,31.97,340.0,300.0,687,795.0,805,,1100.0
2017-07-10,33.62,336.4,-27,-27,45,46.88,44.4,1.4536,391.75,3.2548,2705,582.8,4.295,2700.0,675.0,755,752.2,758.8,687.5,32.46,300.0,300.0,692,806.0,805,,1100.0
2017-07-11,33.73,336.8,-25,-25,45,47.52,45.04,1.4763,392.25,3.2542,2687,579.2,4.296,2680.0,670.0,755,754.6,761.3,670.0,66.87,300.0,300.0,685,808.0,805,,1100.0
2017-07-12,33.43,334.4,-25,-25,54,47.74,45.49,1.4737,376.25,3.2072,2679,566.0,4.292,2685.0,670.0,749,748.0,754.6,670.0,30.91,300.0,300.0,687,808.0,805,,1095.0
2017-07-13,33.01,316.8,-22,-22,50,48.42,46.08,1.4917,361.0,3.2134,2661,554.2,4.2905,2650.0,665.0,740,738.8,745.4,670.0,26.66,300.0,300.0,682,798.0,800,,1090.0
2017-07-14,33.06,322.3,-24,-24,48,48.91,46.54,1.515,365.25,3.1794,2620,558.2,4.291,2655.0,667.5,742,743.8,750.5,672.5,29.18,300.0,300.0,677,794.0,800,,1090.0
2017-07-17,33.01,321.8,-24,-24,48,48.42,46.02,1.4995,375.0,3.1828,2617,506.2,4.286,2640.0,642.5,735,738.8,745.4,670.0,29.71,290.0,300.0,685,795.0,800,,1070.0
2017-07-18,33.17,323.5,-24,-24,52,48.84,46.4,1.5104,377.0,3.1542,2582,510.5,4.284,2605.0,640.0,737,742.3,748.9,670.0,31.24,290.0,300.0,670,795.0,800,,1070.0
2017-07-19,33.46,326.6,-25,-25,50,49.7,47.12,1.5514,382.5,3.1486,2580,507.5,4.2845,2600.0,637.5,737,748.7,753.1,670.0,30.28,290.0,300.0,672,790.0,800,,1080.0
2017-07-20,33.97,330.5,-24,-24,50,49.3,46.79,1.5436,391.0,3.1206,2621,510.4,4.29,2620.0,642.5,745,759.9,764.3,670.0,30.97,290.0,300.0,680,802.0,800,,1100.0
2017-07-21,33.8,329.7,-25,-25,50,48.06,45.77,1.5152,379.75,3.1416,2612,504.8,4.282,2620.0,632.5,740,756.2,758.4,667.5,26.46,290.0,300.0,680,800.0,807,,1100.0
2017-07-24,33.61,325.9,-30,-30,50,48.6,46.34,1.5169,377.25,3.1455,2589,494.0,4.276,2600.0,630.0,737,752.0,754.2,662.5,27.02,290.0,300.0,667,795.0,805,,1095.0
2017-07-25,33.5,318.3,-23,-23,52,50.2,47.89,1.5685,368.75,3.1722,2646,489.6,4.28,2645.0,645.0,735,749.6,751.8,677.5,25.72,290.0,300.0,680,802.0,810,,1125.0
2017-07-26,33.73,319.8,-22,-22,53,50.97,48.75,1.5953,372.75,3.1385,2652,497.5,4.2825,2645.0,647.5,740,745.8,756.9,660.0,29.64,290.0,300.0,680,795.0,810,,1130.0
2017-07-27,33.85,322.3,-22,-22,68,51.49,49.04,1.6032,374.25,3.1524,2692,503.8,4.276,2690.0,655.0,740,748.5,759.5,670.0,30.73,290.0,300.0,680,805.0,810,,1225.0
2017-07-28,34.61,321.0,-22,-22,50,52.52,49.71,1.6397,374.25,3.1316,2666,510.3,4.2795,2670.0,650.0,755,765.2,776.3,667.5,29.12,290.0,300.0,675,798.0,807,,1200.0
2017-07-31,34.71,318.6,-24,-24,55,52.65,50.17,1.6519,370.75,3.1259,2672,508.6,4.28,2680.0,657.5,757,767.4,778.5,672.5,26.44,290.0,300.0,685,815.0,820,,1215.0
2017-08-01,33.86,308.3,-16,-16,55,51.78,49.16,1.6413,362.5,3.1254,2659,498.4,4.284,2660.0,650.0,745,748.7,759.7,660.0,32.83,290.0,300.0,680,810.0,817,,1210.0
2017-08-02,34.15,309.0,-20,-20,55,52.36,49.59,1.6588,365.0,3.1131,2630,501.0,4.284,2645.0,647.5,752,755.1,766.1,660.0,32.82,290.0,300.0,680,804.0,810,,1185.0
2017-08-03,33.38,306.3,-20,-20,57,52.01,49.03,1.6389,363.5,3.1123,2588,497.6,4.277,2610.0,637.5,740,742.5,758.0,652.5,32.27,290.0,320.0,670,805.0,815,,1170.0
2017-08-04,33.6,303.5,-20,-20,57,52.42,49.58,1.6486,366.5,3.1305,2590,500.3,4.277,2605.0,640.0,744,747.4,762.8,655.0,33.64,290.0,320.0,670,804.0,817,,1170.0
2017-08-07,33.51,308.0,-20,-20,55,52.37,49.39,1.6398,372.25,3.1261,2581,,4.282,2585.0,635.0,746,743.2,760.8,650.0,33.57,290.0,320.0,,,,,1140.0
2017-08-08,33.8,307.8,-20,-20,55,52.14,49.17,1.6292,369.75,3.1266,2624,505.7,4.284,2625.0,642.5,752,754.0,767.2,665.0,41.46,290.0,320.0,667,812.0,815,,1180.0
2017-08-09,34.13,306.6,-20,-20,56,52.7,49.56,1.6533,372.25,3.1556,2628,511.2,4.287,2625.0,642.5,760,754.6,763.5,670.0,37.79,290.0,320.0,677,812.0,815,,1175.0
2017-08-10,33.74,294.2,-18,-18,59,51.9,48.59,1.6313,357.25,3.1754,2663,506.2,4.29,2650.0,650.0,755,748.3,754.9,680.0,36.2,290.0,320.0,675,812.0,815,,1180.0
2017-08-11,33.53,298.1,-10,-10,59,52.1,48.82,1.6346,360.75,3.1934,2683,506.9,4.2935,2655.0,652.5,751,743.6,750.2,685.0,121.79,290.0,320.0,677,812.0,815,,1185.0
2017-08-14,32.98,296.3,-10,-10,60,50.73,47.59,1.6057,362.75,3.1885,2668,502.1,4.292,2655.0,647.5,748,741.2,754.4,670.0,121.29,290.0,320.0,680,808.0,822,,1195.0
2017-08-15,32.71,295.8,-10,-10,68,50.8,47.55,1.5996,355.25,3.1692,2628,494.3,4.294,2635.0,642.5,736,725.5,743.2,680.0,30.62,290.0,320.0,,,,,1215.0
2017-08-16,32.85,294.6,-10,-10,65,50.27,46.78,1.5744,352.5,3.1518,2622,492.7,4.297,2625.0,640.0,738,728.6,741.9,685.0,32.18,290.0,320.0,670,793.0,825,,1225.0
2017-08-17,33.21,296.1,-10,-10,65,51.03,47.09,1.582,350.5,3.1741,2649,500.0,4.294,2655.0,645.0,748,743.2,749.8,687.5,31.9,290.0,320.0,677,800.0,814,,1245.0
2017-08-18,33.61,297.2,-12,-12,64,52.72,48.51,1.6204,352.0,3.1462,2675,506.7,4.288,2670.0,652.5,760,752.0,758.6,695.0,33.89,290.0,320.0,680,809.0,825,,1275.0
2017-08-21,33.8,295.8,-12,-12,65,51.66,47.37,1.5712,349.0,3.1642,2703,505.0,4.2855,2690.0,660.0,,756.2,767.2,677.5,34.22,290.0,320.0,680,815.0,830,,1300.0
2017-08-22,34.06,295.3,-12,-12,64,51.87,47.64,1.5912,346.0,3.1602,2729,506.8,4.279,2730.0,665.0,770,753.1,768.5,705.0,35.56,290.0,320.0,700,826.0,830,,1340.0
2017-08-23,34.72,293.3,-11,-11,76,52.57,48.41,1.6244,342.0,3.1405,2723,508.0,4.278,2730.0,665.0,778,767.7,783.1,700.0,34.54,290.0,320.0,695,832.0,840,,1340.0
2017-08-24,34.78,297.6,-11,-11,68,52.04,47.43,1.621,342.0,3.1473,2750,504.7,4.278,2755.0,675.0,778,769.0,782.2,710.0,44.17,290.0,320.0,705,831.0,840,,1360.0
2017-08-25,34.61,296.4,-11,-11,68,52.41,47.87,1.6223,338.75,3.1595,2733,500.9,4.2715,2735.0,672.5,775,765.2,778.5,705.0,40.11,290.0,320.0,,,,,1360.0
2017-08-28,34.59,295.5,-10,-10,65,51.89,46.57,1.6352,336.0,3.1664,2723,502.0,4.266,2735.0,672.5,775,764.8,784.6,700.0,39.9,290.0,320.0,705,825.0,840,,1355.0
2017-08-29,34.28,294.6,-10,-10,68,52.0,46.44,1.6655,333.5,3.1644,2680,498.8,4.2655,2720.0,665.0,770,758.0,773.4,687.5,31.47,290.0,320.0,700,824.0,840,,1340.0
2017-08-30,34.33,292.4,-10,-10,68,50.86,45.96,1.6738,329.5,3.1596,2680,498.1,4.269,2715.0,665.0,768,759.1,774.5,685.0,29.84,290.0,320.0,,,,,1335.0
2017-08-31,34.71,294.3,-11,-11,70,52.38,47.23,1.7575,342.25,3.1474,,499.5,4.269,,,774,767.4,782.9,687.5,27.6,290.0,320.0,705,820.0,832,,
2017-09-01,35.31,293.2,-10,-10,68,52.75,47.29,1.7468,340.0,3.1409,,497.3,4.269,,,778,780.7,791.7,687.5,30.05,290.0,320.0,705,826.0,835,,
2017-09-04,,,,,,52.34,,,,3.1412,,,4.269,,,778,,,697.5,28.17,290.0,320.0,,,,,
2017-09-05,35.1,302.8,-13,-13,70,53.38,48.66,1.748,344.25,3.1163,2740,497.2,4.2585,2750.0,675.0,774,,,705.0,26.32,290.0,320.0,695,832.0,840,,1355.0
2017-09-06,35.21,303.6,-13,-13,65,54.2,49.16,1.7595,347.0,3.0996,2720,497.2,4.237,2745.0,677.5,774,778.5,780.7,707.5,33.59,320.0,320.0,715,830.0,835,,1380.0
2017-09-07,35.08,302.4,,,,54.49,49.09,1.7861,341.75,3.0985,2768,492.0,4.208,2770.0,690.0,776,778.5,780.7,717.5,24.82,320.0,320.0,717,832.0,840,,1420.0
2017-09-08,34.59,300.9,-13,-13,65,53.78,47.48,1.7657,344.25,3.0865,2771,489.7,4.192,2775.0,690.0,776,,,720.0,26.23,320.0,320.0,730,843.0,840,,1460.0
2017-09-11,34.79,298.9,-14,-14,70,53.84,48.07,1.7427,345.5,3.1023,2803,485.7,4.195,2810.0,695.0,782,769.2,789.0,727.5,26.62,320.0,320.0,732,832.0,835,,1520.0
2017-09-12,34.84,295.1,-10,-10,75,54.27,48.23,1.7406,340.0,3.1245,2830,484.4,4.206,2840.0,710.0,792,770.3,790.1,760.0,25.45,320.0,320.0,740,839.0,837,,1580.0
2017-09-13,34.72,300.3,-13,-13,70,55.16,49.3,1.7685,338.5,3.1349,2892,487.1,4.19,2885.0,720.0,792,767.7,787.5,750.0,31.33,320.0,320.0,,,,,1660.0
2017-09-14,34.66,308.7,-14,-14,75,55.47,49.89,1.7775,341.75,3.1179,2885,488.6,4.204,2895.0,720.0,790,778.9,803.1,742.5,28.85,320.0,320.0,755,855.0,845,,1660.0
2017-09-15,34.56,308.0,-16,-16,75,55.62,49.89,1.7988,354.75,3.1079,2885,489.1,4.188,2890.0,725.0,785,772.9,795.0,735.0,23.37,320.0,320.0,750,850.0,845,,1650.0
2017-09-18,34.19,309.0,-16,-16,75,55.48,49.91,1.7796,351.5,3.136,2834,489.9,4.187,2850.0,715.0,778,764.8,782.4,760.0,24.89,320.0,320.0,750,838.0,840,,1540.0
2017-09-19,34.52,305.0,-15,-15,80,55.14,49.48,1.7726,348.25,3.1346,2785,492.1,4.19,2800.0,700.0,785,772.1,780.9,760.0,26.81,320.0,320.0,750,834.0,845,,1490.0
2017-09-20,34.67,306.3,-15,-15,68,56.29,50.41,1.807,350.0,3.132,2786,492.9,4.186,2800.0,697.5,790,775.4,793.0,737.5,32.52,320.0,320.0,,,,,1490.0
2017-09-21,34.1,309.0,-15,-15,65,56.43,50.55,1.8153,350.25,3.1369,2748,492.1,4.196,2765.0,690.0,787,780.4,784.8,730.0,25.34,320.0,320.0,740,842.0,835,,1460.0
2017-09-22,33.99,315.0,-15,-15,68,56.86,50.66,1.8163,353.5,3.1243,,494.8,4.196,,,787,775.8,784.6,727.5,27.02,320.0,320.0,730,842.0,835,,
2017-09-25,33.78,310.1,-14,-14,63,59.02,52.22,1.8563,353.75,3.1593,2715,495.3,4.202,2710.0,675.0,782,773.4,780.0,715.0,49.05,320.0,320.0,717,835.0,835,,1415.0
2017-09-26,33.23,308.8,-14,-14,65,58.44,51.88,1.8453,352.25,3.1661,2755,492.0,4.205,2755.0,685.0,775,761.3,776.7,727.5,51.91,290.0,300.0,730,838.0,835,,1470.0
2017-09-27,33.02,308.8,-16,-16,67,57.9,52.14,1.8463,354.0,3.1929,2759,492.7,4.22,2760.0,687.5,770,756.6,763.2,717.5,51.61,290.0,300.0,725,830.0,835,,1480.0
2017-09-28,32.59,306.8,-14,-14,68,57.41,51.56,1.832,352.5,3.1822,2726,490.8,4.23,2730.0,675.0,758,740.5,758.2,715.0,49.71,290.0,300.0,715,818.0,835,,1450.0
2017-09-29,32.57,311.5,-17,-17,60,57.54,51.67,1.8117,355.25,3.1614,2719,492.4,4.219,2725.0,675.0,755,742.3,753.3,710.0,50.08,290.0,300.0,715,818.0,830,,1445.0
2017-09-30,,,,,,,,,,,,,,,,,,,,,290.0,300.0,,,,,
2017-10-02,32.28,309.1,-15,-15,60,56.12,50.58,1.7665,351.5,3.1538,2689,491.5,4.232,2700.0,665.0,750,740.3,751.3,700.0,50.88,,,,,,,1430.0
2017-10-03,32.51,307.3,-16,-16,70,56.0,50.42,1.7505,349.5,3.1425,2704,493.1,4.2375,2715.0,672.5,755,745.4,754.2,705.0,51.26,,,710,807.0,825,,1420.0
2017-10-04,32.99,306.9,-14,-14,70,55.8,49.98,1.7739,348.25,3.1349,2727,493.4,4.226,2735.0,680.0,762,756.0,762.6,715.0,52.0,,,715,812.0,830,,1450.0
2017-10-05,32.77,312.9,-16,-16,62,57.0,50.79,1.7863,349.5,3.1539,2729,495.2,4.227,2735.0,682.5,757,746.7,751.1,710.0,54.81,,,720,820.0,835,,1460.0
